imb_id,rearing_year,host_plant,overall_survival,stage,duration,start,end,survival,total_degree_days,event,status
14BR036,2014,BRRA,Y,fifth,6,2014-07-01,2014-07-07,TRUE,45.13939393939394,progression6,1
14BR036,2014,BRRA,Y,pupa,329,2014-07-07,2015-06-01,TRUE,617.7747218105458,progression7,1
14BR037,2014,BRRA,Y,first,5,2014-06-11,2014-06-16,TRUE,17.921217486217486,progression2,1
14BR037,2014,BRRA,Y,second,9,2014-06-16,2014-06-25,TRUE,38.78162441724942,progression3,1
14BR037,2014,BRRA,Y,third,4,2014-06-25,2014-06-29,TRUE,23.85462915335256,progression4,1
14BR037,2014,BRRA,Y,fourth,3,2014-06-29,2014-07-02,TRUE,24.620192307692314,progression5,1
14BR037,2014,BRRA,Y,fifth,7,2014-07-02,2014-07-09,TRUE,48.858333333333334,progression6,1
14BR037,2014,BRRA,Y,pupa,331,2014-07-09,2015-06-05,TRUE,615.2652350329556,progression7,1
14BR038,2014,BRRA,Y,first,2,2014-06-11,2014-06-13,TRUE,10.888479853479854,progression2,1
14BR038,2014,BRRA,Y,second,11,2014-06-13,2014-06-24,TRUE,41.81128512691013,progression3,1
14BR038,2014,BRRA,Y,third,5,2014-06-24,2014-06-29,TRUE,29.13900415335256,progression4,1
14BR038,2014,BRRA,Y,fourth,4,2014-06-29,2014-07-03,TRUE,29.895192307692312,progression5,1
14BR038,2014,BRRA,Y,fifth,7,2014-07-03,2014-07-10,TRUE,48.3375,progression6,1
14BR038,2014,BRRA,Y,pupa,347,2014-07-10,2015-06-22,TRUE,690.8511491188697,progression7,1
14BR040,2014,BRRA,Y,first,5,2014-06-11,2014-06-16,TRUE,17.921217486217486,progression2,1
14BR040,2014,BRRA,Y,second,9,2014-06-16,2014-06-25,TRUE,38.78162441724942,progression3,1
14BR040,2014,BRRA,Y,third,3,2014-06-25,2014-06-28,TRUE,19.44693684566025,progression4,1
14BR040,2014,BRRA,Y,fourth,4,2014-06-28,2014-07-02,TRUE,29.071256137479544,progression5,1
14BR040,2014,BRRA,Y,fifth,8,2014-07-02,2014-07-10,TRUE,55.99166666666667,progression6,1
14BR040,2014,BRRA,Y,pupa,333,2014-07-10,2015-06-08,TRUE,627.3879623056829,progression7,1
14BR043,2014,BRRA,Y,first,2,2014-06-11,2014-06-13,TRUE,10.888479853479854,progression2,1
14BR043,2014,BRRA,Y,second,10,2014-06-13,2014-06-23,TRUE,36.52691012691013,progression3,1
14BR043,2014,BRRA,Y,third,4,2014-06-23,2014-06-27,TRUE,23.884414682539685,progression4,1
14BR043,2014,BRRA,Y,fourth,4,2014-06-27,2014-07-01,TRUE,26.588518042241446,progression5,1
14BR043,2014,BRRA,Y,fifth,6,2014-07-01,2014-07-07,TRUE,45.13939393939394,progression6,1
14BR043,2014,BRRA,Y,pupa,336,2014-07-07,2015-06-08,TRUE,648.7379623056829,progression7,1
14BR044,2014,BRRA,Y,first,3,2014-06-20,2014-06-23,TRUE,14.425,progression2,1
14BR044,2014,BRRA,Y,second,9,2014-06-23,2014-07-02,TRUE,52.95567082001923,progression3,1
14BR044,2014,BRRA,Y,third,5,2014-07-02,2014-07-07,TRUE,36.98106060606061,progression4,1
14BR044,2014,BRRA,Y,fourth,4,2014-07-07,2014-07-11,TRUE,35.729166666666664,progression5,1
14BR044,2014,BRRA,Y,fifth,7,2014-07-11,2014-07-18,TRUE,37.19953717109215,progression6,1
14BR044,2014,BRRA,Y,pupa,326,2014-07-18,2015-06-09,TRUE,591.611258467924,progression7,1
14BR045,2014,BRRA,Y,fifth,8,2014-06-21,2014-06-29,TRUE,39.20983748668589,progression6,1
14BR045,2014,BRRA,Y,pupa,361,2014-06-29,2015-06-25,TRUE,772.516038396259,progression7,1
14BR046,2014,BRRA,Y,fifth,8,2014-06-22,2014-06-30,TRUE,41.01400415335256,progression6,1
14BR046,2014,BRRA,Y,pupa,340,2014-06-30,2015-06-05,TRUE,672.0546289723495,progression7,1
14SI001a,2014,SIAL,Y,pupa,378,2014-06-09,2015-06-22,TRUE,833.6895633991323,progression7,1
14SI001b,2014,SIAL,Y,fifth,3,2014-06-05,2014-06-08,TRUE,15.105333333333334,progression6,1
14SI001b,2014,SIAL,Y,pupa,363,2014-06-08,2015-06-06,TRUE,763.0400432526122,progression7,1
14SI002,2014,SIAL,Y,fourth,2,2014-06-04,2014-06-06,TRUE,9.705208333333337,progression5,1
14SI002,2014,SIAL,Y,fifth,3,2014-06-06,2014-06-09,TRUE,16.992833333333333,progression6,1
14SI002,2014,SIAL,Y,pupa,339,2014-06-09,2015-05-14,TRUE,694.8978060605017,progression7,1
14SI003,2014,SIAL,Y,fifth,2,2014-06-05,2014-06-07,TRUE,11.033333333333337,progression6,1
14SI003,2014,SIAL,Y,pupa,381,2014-06-07,2015-06-23,TRUE,846.903230065799,progression7,1
14SI004,2014,SIAL,Y,fourth,2,2014-06-04,2014-06-06,TRUE,9.705208333333337,progression5,1
14SI004,2014,SIAL,Y,fifth,3,2014-06-06,2014-06-09,TRUE,16.992833333333333,progression6,1
14SI004,2014,SIAL,Y,pupa,376,2014-06-09,2015-06-20,TRUE,823.0459736555426,progression7,1
14SI005,2014,SIAL,Y,fourth,2,2014-06-04,2014-06-06,TRUE,9.705208333333337,progression5,1
14SI005,2014,SIAL,Y,fifth,3,2014-06-06,2014-06-09,TRUE,16.992833333333333,progression6,1
14SI005,2014,SIAL,Y,pupa,390,2014-06-09,2015-07-04,TRUE,935.9375937021626,progression7,1
14SI006,2014,SIAL,Y,fourth,2,2014-06-04,2014-06-06,TRUE,9.705208333333337,progression5,1
14SI006,2014,SIAL,Y,fifth,3,2014-06-06,2014-06-09,TRUE,16.992833333333333,progression6,1
14SI006,2014,SIAL,Y,pupa,348,2014-06-09,2015-05-23,TRUE,715.2201115328072,progression7,1
14SI007,2014,SIAL,Y,third,1,2014-06-05,2014-06-06,TRUE,6.758333333333335,progression4,1
14SI007,2014,SIAL,Y,fourth,4,2014-06-06,2014-06-10,TRUE,21.04640476190476,progression5,1
14SI007,2014,SIAL,Y,fifth,9,2014-06-10,2014-06-19,TRUE,32.72857679357679,progression6,1
14SI007,2014,SIAL,Y,pupa,343,2014-06-19,2015-05-28,TRUE,693.0674680551405,progression7,1
14SI007b,2014,SIAL,Y,fourth,2,2014-06-04,2014-06-06,TRUE,9.705208333333337,progression5,1
14SI007b,2014,SIAL,Y,fifth,3,2014-06-06,2014-06-09,TRUE,16.992833333333333,progression6,1
14SI007b,2014,SIAL,Y,pupa,344,2014-06-09,2015-05-19,TRUE,707.192586280282,progression7,1
14SI008,2014,SIAL,Y,third,2,2014-06-04,2014-06-06,TRUE,9.705208333333337,progression4,1
14SI008,2014,SIAL,Y,fourth,2,2014-06-06,2014-06-08,TRUE,11.863666666666669,progression5,1
14SI008,2014,SIAL,Y,fifth,6,2014-06-08,2014-06-14,TRUE,26.052308857808857,progression6,1
14SI008,2014,SIAL,Y,pupa,362,2014-06-14,2015-06-11,TRUE,763.1753967324657,progression7,1
14SI010,2014,SIAL,Y,fifth,4,2014-06-06,2014-06-10,TRUE,21.04640476190476,progression6,1
14SI010,2014,SIAL,Y,pupa,356,2014-06-10,2015-06-01,TRUE,734.1339694241418,progression7,1
14SI011,2014,SIAL,Y,fourth,1,2014-06-06,2014-06-07,TRUE,7.791666666666668,progression5,1
14SI011,2014,SIAL,Y,fifth,5,2014-06-07,2014-06-12,TRUE,24.102833333333333,progression6,1
14SI012,2014,SIAL,Y,pupa,387,2014-06-08,2015-06-30,TRUE,903.4887603688292,progression7,1
14SI013,2014,SIAL,Y,fifth,5,2014-06-06,2014-06-11,TRUE,23.577833333333334,progression6,1
14SI013,2014,SIAL,Y,pupa,355,2014-06-11,2015-06-01,TRUE,730.0803979955704,progression7,1
14SI014,2014,SIAL,Y,third,3,2014-06-06,2014-06-09,TRUE,16.992833333333333,progression4,1
14SI014,2014,SIAL,Y,fourth,2,2014-06-09,2014-06-11,TRUE,11.714166666666667,progression5,1
14SI014,2014,SIAL,Y,fifth,12,2014-06-11,2014-06-23,TRUE,43.100005365005366,progression6,1
14SI014,2014,SIAL,Y,pupa,336,2014-06-23,2015-05-25,TRUE,670.4128969683326,progression7,1
