imb_id,rearing_year,host_plant,collection_date,collection_stage,hatch_date,date_instar_2,date_instar_3,date_instar_4,date_instar_5,pupation_date,stage_at_death,release_year,eclosure_date,release_date,sex
15BR060,2015,BRRA,2015-06-25,third,NA,NA,NA,2015-06-30,2015-07-02,2015-07-08,NA,2016,2016-05-16,2016-05-16,NA
15BR061,2015,BRRA,2015-06-25,second,NA,NA,2015-06-29,2015-06-30,2015-07-02,2015-07-08,NA,2016,2016-05-29,2016-05-29,NA
15BR062,2015,BRRA,2015-06-25,fourth,NA,NA,NA,NA,2015-06-29,2015-07-04,NA,2016,2016-04-26,2016-04-27,NA
15BR063,2015,BRRA,2015-06-25,third,NA,NA,NA,2015-06-29,2015-07-03,2015-07-07,NA,2016,2016-05-15,2016-05-16,NA
15BR064,2015,BRRA,2015-06-25,second,NA,NA,2015-06-29,2015-07-02,2015-07-05,2015-07-08,NA,2016,2016-05-03,2016-05-03,NA
15BR065,2015,BRRA,2015-06-25,second,NA,NA,2015-06-26,2015-06-30,2015-07-01,2015-07-08,NA,2016,2016-04-28,2016-04-28,NA
15BR066,2015,BRRA,2015-06-25,second,NA,NA,2015-06-27,2015-07-01,2015-07-05,2015-07-09,NA,2016,2016-05-14,2016-05-14,NA
15BR067,2015,BRRA,2015-06-25,second,NA,NA,2015-06-29,2015-07-02,2015-07-05,2015-07-09,NA,2016,2016-06-03,2016-06-03,NA
15BR068,2015,BRRA,2015-06-25,second,NA,NA,2015-06-29,2015-07-02,2015-07-05,2015-07-08,NA,2016,2016-05-11,2016-05-11,NA
15BR069,2015,BRRA,2015-07-01,first,NA,2015-07-04,2015-07-06,2015-07-08,2015-07-11,2015-07-16,NA,2016,2016-05-28,2016-05-29,NA
15BR070,2015,BRRA,2015-07-01,second,NA,NA,2015-07-04,2015-07-08,2015-07-11,2015-07-14,NA,2016,2016-05-10,2016-05-10,NA
15BR071,2015,BRRA,2015-07-01,first,NA,2015-07-04,2015-07-08,2015-07-14,2015-07-17,2015-07-20,NA,2016,2016-05-15,2016-05-16,NA
15BR072,2015,BRRA,2015-07-01,second,NA,NA,2015-07-04,2015-07-08,2015-07-11,2015-07-16,NA,2016,2016-05-10,2016-05-10,NA
15SI009,2015,SIAL,2015-05-06,second,NA,NA,2015-05-15,2015-05-18,2015-05-22,2015-06-01,NA,2016,2016-05-23,2016-05-24,NA
15SI012,2015,SIAL,2015-05-11,first,NA,2015-05-15,2015-05-18,2015-05-23,2015-05-28,2015-06-06,NA,NA,NA,NA,NA
15SI013,2015,SIAL,2015-05-11,first,NA,2015-05-16,2015-05-20,2015-05-25,2015-05-29,2015-06-06,NA,2016,2016-04-25,2016-04-25,NA
15SI016,2015,SIAL,2015-05-11,first,NA,2015-05-17,2015-05-21,2015-05-25,2015-05-28,2015-06-06,NA,2016,2016-05-07,2016-05-07,NA
15SI018,2015,SIAL,2015-05-20,second,NA,NA,2015-05-23,2015-05-27,2015-06-01,2015-06-06,NA,2016,2016-05-03,2016-05-03,NA
15SI019,2015,SIAL,2015-05-20,first,NA,2015-05-22,2015-05-27,2015-05-30,2015-06-04,2015-06-12,NA,2016,2016-05-06,2016-05-06,NA
15SI020,2015,SIAL,2015-05-20,second,NA,NA,2015-05-21,2015-05-25,2015-05-29,2015-06-06,NA,2016,2016-05-04,2016-05-05,NA
15SI021,2015,SIAL,2015-05-20,first,NA,2015-05-22,2015-05-26,2015-05-28,2015-06-03,2015-06-11,NA,2016,2016-05-05,2016-05-05,NA
15SI022,2015,SIAL,2015-05-20,second,NA,NA,2015-05-25,2015-05-28,2015-06-03,2015-06-10,NA,2016,2016-04-29,2016-04-29,NA
15SI023,2015,SIAL,2015-05-20,first,NA,2015-05-21,2015-05-26,2015-05-29,2015-06-04,2015-06-12,NA,2016,2016-05-04,2016-05-05,NA
15SI024,2015,SIAL,2015-05-20,first,NA,2015-05-22,2015-05-26,2015-05-30,2015-06-04,2015-06-12,NA,2016,2016-05-11,2016-05-11,NA
15SI025,2015,SIAL,2015-05-27,third,NA,NA,NA,2015-06-01,2015-06-04,2015-06-12,NA,2016,2016-05-14,2016-05-14,NA
15SI026,2015,SIAL,2015-05-27,second,NA,NA,2015-05-28,2015-06-01,2015-06-05,2015-06-12,NA,2016,2016-05-16,2016-05-16,NA
15SI027,2015,SIAL,2015-05-27,second,NA,NA,2015-05-29,2015-06-01,2015-06-06,2015-06-14,NA,2016,2016-05-01,2016-05-02,NA
15SI028,2015,SIAL,2015-05-27,first,NA,2015-05-29,2015-06-03,2015-06-09,2015-06-12,2015-06-17,NA,2016,2016-05-01,2016-05-02,NA
15SI029,2015,SIAL,2015-05-27,second,NA,NA,2015-05-29,2015-06-03,2015-06-08,2015-06-15,NA,2016,2016-06-02,2016-06-03,NA
15SI031,2015,SIAL,2015-05-27,second,NA,NA,2015-05-31,2015-06-03,2015-06-08,2015-06-16,NA,2016,2016-05-03,2016-05-03,NA
15SI032,2015,SIAL,2015-05-27,second,NA,NA,2015-05-31,2015-06-03,2015-06-08,2015-06-15,NA,NA,NA,NA,NA
15SI033,2015,SIAL,2015-05-27,third,NA,NA,NA,2015-06-01,2015-06-05,2015-06-11,NA,NA,NA,NA,NA
15SI034,2015,SIAL,2015-06-03,third,NA,NA,NA,2015-06-06,2015-06-09,2015-06-19,NA,2016,2016-05-18,2016-05-18,NA
15SI035,2015,SIAL,2015-06-03,second,NA,NA,2015-06-04,2015-06-09,2015-06-11,2015-06-19,NA,2016,2016-05-17,2016-05-17,NA
15SI036,2015,SIAL,2015-06-03,second,NA,NA,2015-06-04,2015-06-07,2015-06-11,2015-06-19,NA,2016,2016-05-07,2016-05-07,NA
15SI037,2015,SIAL,2015-06-07,third,NA,NA,NA,2015-06-09,2015-06-12,2015-06-17,NA,2016,2016-05-02,2016-05-02,NA
15SI038,2015,SIAL,2015-06-07,third,NA,NA,NA,2015-06-09,2015-06-11,2015-06-19,NA,2016,2016-05-13,2016-05-13,NA
15SI039,2015,SIAL,2015-06-07,third,NA,NA,NA,2015-06-09,2015-06-11,2015-06-17,NA,2016,2016-05-02,2016-05-02,NA
15SI040,2015,SIAL,2015-06-07,second,NA,NA,2015-06-11,2015-06-15,2015-06-17,2015-06-26,NA,2016,2016-06-05,2016-06-05,NA
15SI043,2015,SIAL,2015-06-07,second,NA,NA,2024-06-10,NA,NA,NA,third,NA,NA,NA,NA
15SI044,2015,SIAL,2015-06-07,third,NA,NA,NA,2015-06-09,2015-06-12,2015-06-22,NA,2016,2016-05-02,2016-05-02,NA
15SI045,2015,SIAL,2015-06-09,fifth,NA,NA,NA,NA,NA,2015-06-17,NA,2016,2016-05-10,2016-05-11,NA
15SI046,2015,SIAL,2015-06-09,fourth,NA,NA,NA,NA,2015-06-11,2015-06-20,NA,2016,2016-04-29,2016-04-29,NA
15SI047,2015,SIAL,2015-06-09,first,NA,2015-06-10,2015-06-15,2015-06-21,2015-06-24,2015-06-29,NA,NA,NA,NA,NA
15SI048,2015,SIAL,2015-06-09,fourth,NA,NA,NA,NA,2015-06-12,2015-06-20,NA,2016,2016-05-11,2016-05-11,NA
15SI049,2015,SIAL,2015-06-09,third,NA,NA,NA,2015-06-12,2015-06-13,2015-06-22,NA,2016,2016-05-09,2016-05-09,NA
15SI050,2015,SIAL,2015-06-09,fourth,NA,NA,NA,NA,2015-06-15,2015-06-21,NA,2016,2016-05-10,2016-05-11,NA
15SI051,2015,SIAL,2015-06-09,third,NA,NA,NA,2015-06-12,2015-06-15,2015-06-22,NA,2016,2016-05-21,2016-05-22,NA
15SI052,2015,SIAL,2015-06-09,third,NA,NA,NA,2015-06-11,2015-06-16,2015-06-23,NA,2016,2016-04-29,2016-04-29,NA
15SI053,2015,SIAL,2015-06-09,third,NA,NA,NA,2015-06-11,2015-06-15,2015-06-23,NA,2016,2016-05-21,2016-05-22,NA
15SI054,2015,SIAL,2015-06-09,fourth,NA,NA,NA,NA,2015-06-15,2015-06-22,NA,2016,2016-05-14,2016-05-16,NA
15SI055,2015,SIAL,2015-06-09,fifth,NA,NA,NA,NA,NA,2015-06-17,NA,2016,2016-04-21,2016-04-21,NA
