,date,min,max,avg,range
294,2015-10-02,53,73,63.66666667,20
295,2015-10-03,52,74,64.3125,22
296,2015-10-04,57,74,66.45833333,17
297,2015-10-05,55,75,65.875,20
298,2015-10-06,53,72,63.375,19
299,2015-10-07,56,74,64.04166667,18
300,2015-10-08,56,74,65.33333333,18
301,2015-10-09,55,76,65.58333333,21
302,2015-10-10,56,76,67.04166667,20
303,2015-10-11,54,75,64.91666667,21
304,2015-10-12,54,71,62.75,17
305,2015-10-13,55,72,63.27083333,17
306,2015-10-14,51,74,62.3125,23
307,2015-10-15,51,73,63.16666667,22
308,2015-10-16,53,74,64.29166667,21
309,2015-10-17,55,72,63.66666667,17
310,2015-10-18,54,70,62.83333333,16
311,2015-10-19,55,72,63.39583333,17
312,2015-10-20,50,74,62.875,24
313,2015-10-21,50,72,61.10416667,22
314,2015-10-22,49,73,61.70833333,24
315,2015-10-23,47,74,61.45833333,27
316,2015-10-24,49,75,62.8125,26
317,2015-10-25,50,75,63.35416667,25
318,2015-10-26,53,75,64.33333333,22
319,2015-10-27,53,73,63.16666667,20
320,2015-10-28,51,71,61.1875,20
321,2015-10-29,52,71,61.70833333,19
322,2015-10-30,53,72,63.20833333,19
323,2015-10-31,53,71,62.75,18
324,2015-11-01,49,71,60.70833333,22
325,2015-11-02,48,73,60.66666667,25
326,2015-11-03,46,72,59.22916667,26
327,2015-11-04,44,70,57.89583333,26
328,2015-11-05,48,70,59.25,22
329,2015-11-06,45,70,58.1875,25
330,2015-11-07,50,70,60.66666667,20
331,2015-11-08,48,70,59.29166667,22
332,2015-11-09,47,72,59.58333333,25
333,2015-11-10,43,70,57.6875,27
334,2015-11-11,46,71,59.58333333,25
335,2015-11-12,46,70,58.47916667,24
336,2015-11-13,48,75,61.33333333,27
337,2015-11-14,46,75,61.33333333,29
338,2015-11-15,43,75,60.0625,32
339,2015-11-16,41,74,57.89583333,33
340,2015-11-17,45,75,60.85416667,30
341,2015-11-18,42,74,58.10416667,32
342,2015-11-19,43,74,60,31
343,2015-11-20,39,74,58.6875,35
344,2015-11-21,39,74,58.14583333,35
345,2015-11-22,39,73,57.1875,34
346,2015-11-23,42,72,57.25,30
347,2015-11-24,41,74,57.66666667,33
348,2015-11-25,38,74,57.375,36
349,2015-11-26,38,73,57.25,35
350,2015-11-27,38,73,56.77083333,35
351,2015-11-28,36,73,55.9375,37
352,2015-11-29,35,73,54.8125,38
353,2015-11-30,35,74,54.58333333,39
354,2015-12-01,42,75,59.9375,33
355,2015-12-02,45,72,58.66666667,27
356,2015-12-03,48,72,60.75,24
