imb_id,rearing_year,host_plant,overall_survival,stage,duration,start,end,survival
14BR020,2014,BRRA,Y,fourth,2,2014-06-18T00:00:00Z,2014-06-20T00:00:00Z,TRUE
14BR020,2014,BRRA,Y,fifth,11,2014-06-20T00:00:00Z,2014-07-01T00:00:00Z,TRUE
14BR020,2014,BRRA,Y,pupa,349,2014-07-01T00:00:00Z,2015-06-15T00:00:00Z,TRUE
14BR021,2014,BRRA,Y,second,4,2014-06-12T00:00:00Z,2014-06-16T00:00:00Z,TRUE
14BR021,2014,BRRA,Y,third,7,2014-06-16T00:00:00Z,2014-06-23T00:00:00Z,TRUE
14BR021,2014,BRRA,Y,fourth,4,2014-06-23T00:00:00Z,2014-06-27T00:00:00Z,TRUE
14BR021,2014,BRRA,Y,fifth,8,2014-06-27T00:00:00Z,2014-07-05T00:00:00Z,TRUE
14BR023,2014,BRRA,Y,fourth,7,2014-06-13T00:00:00Z,2014-06-20T00:00:00Z,TRUE
14BR023,2014,BRRA,Y,fifth,7,2014-06-20T00:00:00Z,2014-06-27T00:00:00Z,TRUE
14BR023,2014,BRRA,Y,pupa,341,2014-06-27T00:00:00Z,2015-06-03T00:00:00Z,TRUE
14BR024,2014,BRRA,Y,fourth,7,2014-06-11T00:00:00Z,2014-06-18T00:00:00Z,TRUE
14BR024,2014,BRRA,Y,fifth,8,2014-06-18T00:00:00Z,2014-06-26T00:00:00Z,TRUE
14BR024,2014,BRRA,Y,pupa,342,2014-06-26T00:00:00Z,2015-06-03T00:00:00Z,TRUE
14BR027,2014,BRRA,Y,first,9,2014-06-13T00:00:00Z,2014-06-22T00:00:00Z,TRUE
14BR027,2014,BRRA,Y,second,3,2014-06-22T00:00:00Z,2014-06-25T00:00:00Z,TRUE
14BR027,2014,BRRA,Y,third,4,2014-06-25T00:00:00Z,2014-06-29T00:00:00Z,TRUE
14BR027,2014,BRRA,Y,fourth,4,2014-06-29T00:00:00Z,2014-07-03T00:00:00Z,TRUE
14BR027,2014,BRRA,Y,fifth,7,2014-07-03T00:00:00Z,2014-07-10T00:00:00Z,TRUE
14BR027,2014,BRRA,Y,pupa,321,2014-07-10T00:00:00Z,2015-05-27T00:00:00Z,TRUE
14BR028,2014,BRRA,Y,first,4,2014-06-16T00:00:00Z,2014-06-20T00:00:00Z,TRUE
14BR028,2014,BRRA,Y,second,8,2014-06-20T00:00:00Z,2014-06-28T00:00:00Z,TRUE
14BR028,2014,BRRA,Y,third,3,2014-06-28T00:00:00Z,2014-07-01T00:00:00Z,TRUE
14BR028,2014,BRRA,Y,fourth,5,2014-07-01T00:00:00Z,2014-07-06T00:00:00Z,TRUE
14BR028,2014,BRRA,Y,fifth,5,2014-07-06T00:00:00Z,2014-07-11T00:00:00Z,TRUE
14BR028,2014,BRRA,Y,pupa,339,2014-07-11T00:00:00Z,2015-06-15T00:00:00Z,TRUE
14BR029,2014,BRRA,Y,first,8,2014-06-12T00:00:00Z,2014-06-20T00:00:00Z,TRUE
14BR029,2014,BRRA,Y,second,4,2014-06-20T00:00:00Z,2014-06-24T00:00:00Z,TRUE
14BR029,2014,BRRA,Y,third,4,2014-06-24T00:00:00Z,2014-06-28T00:00:00Z,TRUE
14BR029,2014,BRRA,Y,fourth,4,2014-06-28T00:00:00Z,2014-07-02T00:00:00Z,TRUE
14BR029,2014,BRRA,Y,fifth,7,2014-07-02T00:00:00Z,2014-07-09T00:00:00Z,TRUE
14BR029,2014,BRRA,Y,pupa,327,2014-07-09T00:00:00Z,2015-06-01T00:00:00Z,TRUE
14BR030,2014,BRRA,Y,first,4,2014-06-16T00:00:00Z,2014-06-20T00:00:00Z,TRUE
14BR030,2014,BRRA,Y,second,7,2014-06-20T00:00:00Z,2014-06-27T00:00:00Z,TRUE
14BR030,2014,BRRA,Y,third,4,2014-06-27T00:00:00Z,2014-07-01T00:00:00Z,TRUE
14BR030,2014,BRRA,Y,fourth,5,2014-07-01T00:00:00Z,2014-07-06T00:00:00Z,TRUE
14BR030,2014,BRRA,Y,fifth,5,2014-07-06T00:00:00Z,2014-07-11T00:00:00Z,TRUE
14BR031,2014,BRRA,Y,first,4,2014-06-16T00:00:00Z,2014-06-20T00:00:00Z,TRUE
14BR031,2014,BRRA,Y,second,10,2014-06-20T00:00:00Z,2014-06-30T00:00:00Z,TRUE
14BR031,2014,BRRA,Y,third,1,2014-06-30T00:00:00Z,2014-07-01T00:00:00Z,TRUE
14BR031,2014,BRRA,Y,fourth,5,2014-07-01T00:00:00Z,2014-07-06T00:00:00Z,TRUE
14BR031,2014,BRRA,Y,fifth,5,2014-07-06T00:00:00Z,2014-07-11T00:00:00Z,TRUE
14BR034,2014,BRRA,Y,second,8,2014-06-16T00:00:00Z,2014-06-24T00:00:00Z,TRUE
14BR034,2014,BRRA,Y,third,5,2014-06-24T00:00:00Z,2014-06-29T00:00:00Z,TRUE
14BR034,2014,BRRA,Y,fourth,3,2014-06-29T00:00:00Z,2014-07-02T00:00:00Z,TRUE
14BR034,2014,BRRA,Y,fifth,7,2014-07-02T00:00:00Z,2014-07-09T00:00:00Z,TRUE
14BR034,2014,BRRA,Y,pupa,353,2014-07-09T00:00:00Z,2015-06-27T00:00:00Z,TRUE
14BR035,2014,BRRA,Y,first,2,2014-06-11T00:00:00Z,2014-06-13T00:00:00Z,TRUE
14BR035,2014,BRRA,Y,second,9,2014-06-13T00:00:00Z,2014-06-22T00:00:00Z,TRUE
14BR035,2014,BRRA,Y,third,5,2014-06-22T00:00:00Z,2014-06-27T00:00:00Z,TRUE
14BR035,2014,BRRA,Y,fourth,5,2014-06-27T00:00:00Z,2014-07-02T00:00:00Z,TRUE
14BR035,2014,BRRA,Y,fifth,6,2014-07-02T00:00:00Z,2014-07-08T00:00:00Z,TRUE
14BR035,2014,BRRA,Y,pupa,325,2014-07-08T00:00:00Z,2015-05-29T00:00:00Z,TRUE
14BR036,2014,BRRA,Y,first,2,2014-06-11T00:00:00Z,2014-06-13T00:00:00Z,TRUE
14BR036,2014,BRRA,Y,second,9,2014-06-13T00:00:00Z,2014-06-22T00:00:00Z,TRUE
14BR036,2014,BRRA,Y,third,4,2014-06-22T00:00:00Z,2014-06-26T00:00:00Z,TRUE
14BR036,2014,BRRA,Y,fourth,5,2014-06-26T00:00:00Z,2014-07-01T00:00:00Z,TRUE
14BR036,2014,BRRA,Y,fifth,6,2014-07-01T00:00:00Z,2014-07-07T00:00:00Z,TRUE
14BR036,2014,BRRA,Y,pupa,329,2014-07-07T00:00:00Z,2015-06-01T00:00:00Z,TRUE
14BR037,2014,BRRA,Y,first,5,2014-06-11T00:00:00Z,2014-06-16T00:00:00Z,TRUE
14BR037,2014,BRRA,Y,second,9,2014-06-16T00:00:00Z,2014-06-25T00:00:00Z,TRUE
14BR037,2014,BRRA,Y,third,4,2014-06-25T00:00:00Z,2014-06-29T00:00:00Z,TRUE
14BR037,2014,BRRA,Y,fourth,3,2014-06-29T00:00:00Z,2014-07-02T00:00:00Z,TRUE
14BR037,2014,BRRA,Y,fifth,7,2014-07-02T00:00:00Z,2014-07-09T00:00:00Z,TRUE
14BR037,2014,BRRA,Y,pupa,331,2014-07-09T00:00:00Z,2015-06-05T00:00:00Z,TRUE
14BR038,2014,BRRA,Y,first,2,2014-06-11T00:00:00Z,2014-06-13T00:00:00Z,TRUE
14BR038,2014,BRRA,Y,second,11,2014-06-13T00:00:00Z,2014-06-24T00:00:00Z,TRUE
14BR038,2014,BRRA,Y,third,5,2014-06-24T00:00:00Z,2014-06-29T00:00:00Z,TRUE
14BR038,2014,BRRA,Y,fourth,4,2014-06-29T00:00:00Z,2014-07-03T00:00:00Z,TRUE
14BR038,2014,BRRA,Y,fifth,7,2014-07-03T00:00:00Z,2014-07-10T00:00:00Z,TRUE
14BR038,2014,BRRA,Y,pupa,347,2014-07-10T00:00:00Z,2015-06-22T00:00:00Z,TRUE
14BR040,2014,BRRA,Y,first,5,2014-06-11T00:00:00Z,2014-06-16T00:00:00Z,TRUE
14BR040,2014,BRRA,Y,second,9,2014-06-16T00:00:00Z,2014-06-25T00:00:00Z,TRUE
14BR040,2014,BRRA,Y,third,3,2014-06-25T00:00:00Z,2014-06-28T00:00:00Z,TRUE
14BR040,2014,BRRA,Y,fourth,4,2014-06-28T00:00:00Z,2014-07-02T00:00:00Z,TRUE
14BR040,2014,BRRA,Y,fifth,8,2014-07-02T00:00:00Z,2014-07-10T00:00:00Z,TRUE
14BR040,2014,BRRA,Y,pupa,333,2014-07-10T00:00:00Z,2015-06-08T00:00:00Z,TRUE
14BR043,2014,BRRA,Y,first,2,2014-06-11T00:00:00Z,2014-06-13T00:00:00Z,TRUE
14BR043,2014,BRRA,Y,second,10,2014-06-13T00:00:00Z,2014-06-23T00:00:00Z,TRUE
14BR043,2014,BRRA,Y,third,4,2014-06-23T00:00:00Z,2014-06-27T00:00:00Z,TRUE
14BR043,2014,BRRA,Y,fourth,4,2014-06-27T00:00:00Z,2014-07-01T00:00:00Z,TRUE
14BR043,2014,BRRA,Y,fifth,6,2014-07-01T00:00:00Z,2014-07-07T00:00:00Z,TRUE
14BR043,2014,BRRA,Y,pupa,336,2014-07-07T00:00:00Z,2015-06-08T00:00:00Z,TRUE
14BR044,2014,BRRA,Y,first,3,2014-06-20T00:00:00Z,2014-06-23T00:00:00Z,TRUE
14BR044,2014,BRRA,Y,second,9,2014-06-23T00:00:00Z,2014-07-02T00:00:00Z,TRUE
14BR044,2014,BRRA,Y,third,5,2014-07-02T00:00:00Z,2014-07-07T00:00:00Z,TRUE
14BR044,2014,BRRA,Y,fourth,4,2014-07-07T00:00:00Z,2014-07-11T00:00:00Z,TRUE
14BR044,2014,BRRA,Y,fifth,7,2014-07-11T00:00:00Z,2014-07-18T00:00:00Z,TRUE
14BR044,2014,BRRA,Y,pupa,326,2014-07-18T00:00:00Z,2015-06-09T00:00:00Z,TRUE
14BR045,2014,BRRA,Y,fifth,8,2014-06-21T00:00:00Z,2014-06-29T00:00:00Z,TRUE
14BR045,2014,BRRA,Y,pupa,361,2014-06-29T00:00:00Z,2015-06-25T00:00:00Z,TRUE
14BR046,2014,BRRA,Y,fifth,8,2014-06-22T00:00:00Z,2014-06-30T00:00:00Z,TRUE
14BR046,2014,BRRA,Y,pupa,340,2014-06-30T00:00:00Z,2015-06-05T00:00:00Z,TRUE
14SI001a,2014,SIAL,Y,pupa,378,2014-06-09T00:00:00Z,2015-06-22T00:00:00Z,TRUE
14SI001b,2014,SIAL,Y,fifth,3,2014-06-05T00:00:00Z,2014-06-08T00:00:00Z,TRUE
14SI001b,2014,SIAL,Y,pupa,363,2014-06-08T00:00:00Z,2015-06-06T00:00:00Z,TRUE
14SI002,2014,SIAL,Y,fourth,2,2014-06-04T00:00:00Z,2014-06-06T00:00:00Z,TRUE
14SI002,2014,SIAL,Y,fifth,3,2014-06-06T00:00:00Z,2014-06-09T00:00:00Z,TRUE
14SI002,2014,SIAL,Y,pupa,339,2014-06-09T00:00:00Z,2015-05-14T00:00:00Z,TRUE
14SI003,2014,SIAL,Y,fifth,2,2014-06-05T00:00:00Z,2014-06-07T00:00:00Z,TRUE
14SI003,2014,SIAL,Y,pupa,381,2014-06-07T00:00:00Z,2015-06-23T00:00:00Z,TRUE
14SI004,2014,SIAL,Y,fourth,2,2014-06-04T00:00:00Z,2014-06-06T00:00:00Z,TRUE
14SI004,2014,SIAL,Y,fifth,3,2014-06-06T00:00:00Z,2014-06-09T00:00:00Z,TRUE
14SI004,2014,SIAL,Y,pupa,376,2014-06-09T00:00:00Z,2015-06-20T00:00:00Z,TRUE
14SI005,2014,SIAL,Y,fourth,2,2014-06-04T00:00:00Z,2014-06-06T00:00:00Z,TRUE
14SI005,2014,SIAL,Y,fifth,3,2014-06-06T00:00:00Z,2014-06-09T00:00:00Z,TRUE
14SI005,2014,SIAL,Y,pupa,390,2014-06-09T00:00:00Z,2015-07-04T00:00:00Z,TRUE
14SI006,2014,SIAL,Y,fourth,2,2014-06-04T00:00:00Z,2014-06-06T00:00:00Z,TRUE
14SI006,2014,SIAL,Y,fifth,3,2014-06-06T00:00:00Z,2014-06-09T00:00:00Z,TRUE
14SI006,2014,SIAL,Y,pupa,348,2014-06-09T00:00:00Z,2015-05-23T00:00:00Z,TRUE
14SI007,2014,SIAL,Y,third,1,2014-06-05T00:00:00Z,2014-06-06T00:00:00Z,TRUE
14SI007,2014,SIAL,Y,fourth,4,2014-06-06T00:00:00Z,2014-06-10T00:00:00Z,TRUE
14SI007,2014,SIAL,Y,fifth,9,2014-06-10T00:00:00Z,2014-06-19T00:00:00Z,TRUE
14SI007,2014,SIAL,Y,pupa,343,2014-06-19T00:00:00Z,2015-05-28T00:00:00Z,TRUE
14SI007b,2014,SIAL,Y,fourth,2,2014-06-04T00:00:00Z,2014-06-06T00:00:00Z,TRUE
14SI007b,2014,SIAL,Y,fifth,3,2014-06-06T00:00:00Z,2014-06-09T00:00:00Z,TRUE
14SI007b,2014,SIAL,Y,pupa,344,2014-06-09T00:00:00Z,2015-05-19T00:00:00Z,TRUE
14SI008,2014,SIAL,Y,third,2,2014-06-04T00:00:00Z,2014-06-06T00:00:00Z,TRUE
14SI008,2014,SIAL,Y,fourth,2,2014-06-06T00:00:00Z,2014-06-08T00:00:00Z,TRUE
14SI008,2014,SIAL,Y,fifth,6,2014-06-08T00:00:00Z,2014-06-14T00:00:00Z,TRUE
14SI008,2014,SIAL,Y,pupa,362,2014-06-14T00:00:00Z,2015-06-11T00:00:00Z,TRUE
14SI010,2014,SIAL,Y,fifth,4,2014-06-06T00:00:00Z,2014-06-10T00:00:00Z,TRUE
14SI010,2014,SIAL,Y,pupa,356,2014-06-10T00:00:00Z,2015-06-01T00:00:00Z,TRUE
14SI011,2014,SIAL,Y,fourth,1,2014-06-06T00:00:00Z,2014-06-07T00:00:00Z,TRUE
14SI011,2014,SIAL,Y,fifth,5,2014-06-07T00:00:00Z,2014-06-12T00:00:00Z,TRUE
14SI012,2014,SIAL,Y,pupa,387,2014-06-08T00:00:00Z,2015-06-30T00:00:00Z,TRUE
14SI013,2014,SIAL,Y,fifth,5,2014-06-06T00:00:00Z,2014-06-11T00:00:00Z,TRUE
14SI013,2014,SIAL,Y,pupa,355,2014-06-11T00:00:00Z,2015-06-01T00:00:00Z,TRUE
14SI014,2014,SIAL,Y,third,3,2014-06-06T00:00:00Z,2014-06-09T00:00:00Z,TRUE
14SI014,2014,SIAL,Y,fourth,2,2014-06-09T00:00:00Z,2014-06-11T00:00:00Z,TRUE
14SI014,2014,SIAL,Y,fifth,12,2014-06-11T00:00:00Z,2014-06-23T00:00:00Z,TRUE
14SI014,2014,SIAL,Y,pupa,336,2014-06-23T00:00:00Z,2015-05-25T00:00:00Z,TRUE
14SI015,2014,SIAL,Y,third,3,2014-06-07T00:00:00Z,2014-06-10T00:00:00Z,TRUE
14SI015,2014,SIAL,Y,fourth,5,2014-06-10T00:00:00Z,2014-06-15T00:00:00Z,TRUE
14SI015,2014,SIAL,Y,fifth,9,2014-06-15T00:00:00Z,2014-06-24T00:00:00Z,TRUE
14SI015,2014,SIAL,Y,pupa,366,2014-06-24T00:00:00Z,2015-06-25T00:00:00Z,TRUE
14SI016,2014,SIAL,Y,first,4,2014-06-09T00:00:00Z,2014-06-13T00:00:00Z,TRUE
14SI016,2014,SIAL,Y,second,9,2014-06-13T00:00:00Z,2014-06-22T00:00:00Z,TRUE
14SI016,2014,SIAL,Y,third,4,2014-06-22T00:00:00Z,2014-06-26T00:00:00Z,TRUE
