imb_id,rearing_year,host_plant,collection_stage,mispupation,sex,stage,duration,start,end,mean_temp,stage2,after_2018,after_june
15BR018,2015,BRRA,egg,N,NA,second,2,4,6,14.876499034627114,third,FALSE,FALSE
15BR018,2015,BRRA,egg,N,NA,third,6,6,12,15.86471249793531,fourth,FALSE,FALSE
15BR018,2015,BRRA,egg,N,NA,fourth,5,12,17,15.976992196819783,fifth,FALSE,FALSE
15BR018,2015,BRRA,egg,N,NA,fifth,7,17,24,16.1593446381205,pupa,FALSE,FALSE
15BR018,2015,BRRA,egg,N,NA,pupa,330,24,354,12.928975118798993,adult,FALSE,FALSE
15BR026,2015,BRRA,egg,N,NA,first,3,0,3,17.057291666666668,second,FALSE,TRUE
15BR026,2015,BRRA,egg,N,NA,second,4,3,7,16.764302884615386,third,FALSE,TRUE
15BR026,2015,BRRA,egg,N,NA,third,3,7,10,16.81684149184149,fourth,FALSE,TRUE
15BR026,2015,BRRA,egg,N,NA,fourth,5,10,15,18.469059586247088,fifth,FALSE,TRUE
15BR026,2015,BRRA,egg,N,NA,fifth,4,15,19,18.815414335664336,pupa,FALSE,TRUE
15BR026,2015,BRRA,egg,N,NA,pupa,316,19,335,12.768697496764695,adult,FALSE,TRUE
15BR027,2015,BRRA,egg,N,NA,first,2,0,2,16.038888888888888,second,FALSE,TRUE
15BR027,2015,BRRA,egg,N,NA,second,5,2,7,16.504927884615384,third,FALSE,TRUE
15BR027,2015,BRRA,egg,N,NA,third,6,7,13,18.53190143190143,fourth,FALSE,TRUE
15BR027,2015,BRRA,egg,N,NA,fourth,2,13,15,18.545570002913752,fifth,FALSE,TRUE
15BR027,2015,BRRA,egg,N,NA,fifth,5,15,20,19.110400274328846,pupa,FALSE,TRUE
15BR027,2015,BRRA,egg,N,NA,pupa,305,20,325,12.676295972754803,adult,FALSE,TRUE
15BR028,2015,BRRA,egg,N,NA,first,5,0,5,16.342681623931625,second,FALSE,TRUE
15BR028,2015,BRRA,egg,N,NA,second,2,5,7,16.504927884615384,third,FALSE,TRUE
15BR028,2015,BRRA,egg,N,NA,third,3,7,10,17.70423818605637,fourth,FALSE,TRUE
15BR028,2015,BRRA,egg,N,NA,fourth,4,10,14,18.45999689199689,fifth,FALSE,TRUE
15BR028,2015,BRRA,egg,N,NA,fifth,4,14,18,19.022146669120353,pupa,FALSE,TRUE
15BR028,2015,BRRA,egg,N,NA,pupa,310,18,328,12.695919024051483,adult,FALSE,TRUE
15BR032,2015,BRRA,egg,N,NA,first,4,0,4,16.600384615384616,second,FALSE,TRUE
15BR032,2015,BRRA,egg,N,NA,second,4,4,8,18.063976301476302,third,FALSE,TRUE
15BR032,2015,BRRA,egg,N,NA,third,4,8,12,18.82531692666308,fourth,FALSE,TRUE
15BR032,2015,BRRA,egg,N,NA,fourth,3,12,15,19.254945002913754,fifth,FALSE,TRUE
15BR032,2015,BRRA,egg,N,NA,fifth,1,15,16,19.367644316467846,pupa,FALSE,TRUE
15BR032,2015,BRRA,egg,N,NA,pupa,326,16,342,12.77484072102794,death,FALSE,TRUE
15BR036,2015,BRRA,egg,N,NA,first,5,0,5,16.801709401709402,death,FALSE,TRUE
15BR039,2015,BRRA,egg,N,NA,first,2,0,2,17.17008547008547,second,FALSE,TRUE
15BR039,2015,BRRA,egg,N,NA,second,4,2,6,19.39356476856477,third,FALSE,TRUE
15BR039,2015,BRRA,egg,N,NA,third,2,6,8,19.87971704221704,fourth,FALSE,TRUE
15BR039,2015,BRRA,egg,N,NA,fourth,4,8,12,19.978522054868208,fifth,FALSE,TRUE
15BR039,2015,BRRA,egg,N,NA,fifth,6,12,18,19.4369321906164,pupa,FALSE,TRUE
15BR039,2015,BRRA,egg,N,NA,pupa,305,18,323,12.643296889648985,adult,FALSE,TRUE
15BR044,2015,BRRA,egg,N,NA,first,2,0,2,16.853418803418805,second,FALSE,TRUE
15BR044,2015,BRRA,egg,N,NA,second,2,2,4,16.862884615384615,third,FALSE,TRUE
15BR044,2015,BRRA,egg,N,NA,third,3,4,7,18.958952505827504,fourth,FALSE,TRUE
15BR044,2015,BRRA,egg,N,NA,fourth,3,7,10,19.29885939817758,fifth,FALSE,TRUE
15BR044,2015,BRRA,egg,N,NA,fifth,6,10,16,19.806229750641513,pupa,FALSE,TRUE
15BR044,2015,BRRA,egg,N,NA,pupa,322,16,338,12.741317751879931,adult,FALSE,TRUE
15BR045,2015,BRRA,egg,N,NA,first,3,0,3,16.4713141025641,second,FALSE,TRUE
15BR045,2015,BRRA,egg,N,NA,second,3,3,6,16.679441391941392,third,FALSE,TRUE
15BR045,2015,BRRA,egg,N,NA,third,5,6,11,18.939648892773892,fourth,FALSE,TRUE
15BR045,2015,BRRA,egg,N,NA,fourth,4,11,15,19.254945002913754,fifth,FALSE,TRUE
15BR045,2015,BRRA,egg,N,NA,fifth,3,15,18,19.42881960145118,pupa,FALSE,TRUE
15BR045,2015,BRRA,egg,N,NA,pupa,308,18,326,12.675188151619585,adult,FALSE,TRUE
15BR046,2015,BRRA,egg,N,NA,first,4,0,4,16.600384615384616,second,FALSE,TRUE
15BR046,2015,BRRA,egg,N,NA,second,7,4,11,18.939648892773892,third,FALSE,TRUE
15BR046,2015,BRRA,egg,N,NA,third,4,11,15,19.254945002913754,fourth,FALSE,TRUE
15BR046,2015,BRRA,egg,N,NA,fourth,4,15,19,19.30410939060939,fifth,FALSE,TRUE
15BR046,2015,BRRA,egg,N,NA,fifth,5,19,24,18.855725391582414,pupa,FALSE,TRUE
15BR046,2015,BRRA,egg,N,NA,pupa,326,24,350,12.82038726990984,death,FALSE,TRUE
15BR049,2015,BRRA,egg,N,NA,first,4,0,4,16.600384615384616,second,FALSE,TRUE
15BR049,2015,BRRA,egg,N,NA,second,3,4,7,16.855306672494173,third,FALSE,TRUE
15BR049,2015,BRRA,egg,N,NA,third,5,7,12,18.82531692666308,fourth,FALSE,TRUE
15BR049,2015,BRRA,egg,N,NA,fourth,4,12,16,19.367644316467846,fifth,FALSE,TRUE
15BR049,2015,BRRA,egg,N,NA,fifth,2,16,18,19.42881960145118,pupa,FALSE,TRUE
15BR049,2015,BRRA,egg,N,NA,pupa,303,18,321,12.636612278834573,adult,FALSE,TRUE
15BR050,2015,BRRA,egg,N,NA,first,4,0,4,16.784551282051282,second,FALSE,TRUE
15BR050,2015,BRRA,egg,N,NA,second,8,4,12,19.124034875381028,third,FALSE,TRUE
15BR050,2015,BRRA,egg,N,NA,third,2,12,14,19.47555244755245,fourth,FALSE,TRUE
15BR050,2015,BRRA,egg,N,NA,fourth,4,14,18,19.480860762044973,fifth,FALSE,TRUE
15BR050,2015,BRRA,egg,N,NA,fifth,5,18,23,18.976970894009458,pupa,FALSE,TRUE
15BR050,2015,BRRA,egg,N,NA,pupa,310,23,333,12.724027867158343,adult,FALSE,TRUE
15BR052,2015,BRRA,egg,N,NA,first,3,0,3,16.85673076923077,second,FALSE,TRUE
15BR052,2015,BRRA,egg,N,NA,second,3,3,6,18.59058857808858,third,FALSE,TRUE
15BR052,2015,BRRA,egg,N,NA,third,5,6,11,19.34305167055167,fourth,FALSE,TRUE
15BR052,2015,BRRA,egg,N,NA,fourth,4,11,15,19.930726252913754,fifth,FALSE,TRUE
15BR052,2015,BRRA,egg,N,NA,fifth,3,15,18,19.433862015177805,pupa,FALSE,TRUE
15BR052,2015,BRRA,egg,N,NA,pupa,299,18,317,12.592987755238003,adult,FALSE,TRUE
15SI001,2015,SIAL,egg,N,NA,first,5,0,5,13.865053099279638,second,FALSE,FALSE
15SI001,2015,SIAL,egg,N,NA,second,4,5,9,14.129224167260091,third,FALSE,FALSE
15SI001,2015,SIAL,egg,N,NA,third,4,9,13,14.140907721542625,fourth,FALSE,FALSE
15SI001,2015,SIAL,egg,N,NA,fourth,4,13,17,14.208115501606391,fifth,FALSE,FALSE
15SI001,2015,SIAL,egg,N,NA,fifth,9,17,26,14.643248097960415,pupa,FALSE,FALSE
15SI001,2015,SIAL,egg,N,NA,pupa,326,26,352,12.868505387762644,death,FALSE,FALSE
15SI003,2015,SIAL,egg,N,NA,first,9,0,9,13.153264652014652,second,FALSE,FALSE
15SI003,2015,SIAL,egg,N,NA,second,5,9,14,13.376769102959718,third,FALSE,FALSE
15SI003,2015,SIAL,egg,N,NA,third,3,14,17,13.61408109007327,fourth,FALSE,FALSE
15SI003,2015,SIAL,egg,N,NA,fourth,3,17,20,13.637322031029614,fifth,FALSE,FALSE
15SI003,2015,SIAL,egg,N,NA,fifth,8,20,28,13.941796712756576,pupa,FALSE,FALSE
15SI003,2015,SIAL,egg,N,NA,pupa,336,28,364,12.877904894508488,adult,FALSE,FALSE
15SI005,2015,SIAL,egg,N,NA,first,7,0,7,14.10035232445973,second,FALSE,FALSE
15SI005,2015,SIAL,egg,N,NA,second,3,7,10,14.291340152054628,third,FALSE,FALSE
15SI005,2015,SIAL,egg,N,NA,third,3,10,13,14.181074621635997,fourth,FALSE,FALSE
15SI005,2015,SIAL,egg,N,NA,fourth,5,13,18,14.242180851145905,fifth,FALSE,FALSE
15SI005,2015,SIAL,egg,N,NA,fifth,7,18,25,14.412958823621615,pupa,FALSE,FALSE
15SI005,2015,SIAL,egg,N,NA,pupa,332,25,357,12.884320023873967,adult,FALSE,FALSE
